classes,x,y,Validation
dogs,-0.004658,-0.485772,0
dogs,0.0021,-0.514834,0
dogs,0.0021,-0.522099,0
dogs,0.008858,-0.558426,0
dogs,0.008858,-0.565691,0
dogs,0.008858,-0.580222,0
dogs,0.008858,-0.609284,0
dogs,0.008858,-0.623814,0
dogs,0.008858,-0.623814,0
dogs,0.008858,-0.638345,0
dogs,-0.011416,-0.667407,0
dogs,-0.031691,-0.696468,0
dogs,-0.038449,-0.703734,0
dogs,-0.045208,-0.710999,0
dogs,-0.078999,-0.732795,0
dogs,-0.092515,-0.732795,0
dogs,-0.126307,-0.740061,0
dogs,-0.173615,-0.754591,0
dogs,-0.193889,-0.761857,0
dogs,-0.220922,-0.761857,0
dogs,-0.227681,-0.769122,0
dogs,-0.241197,-0.769122,0
dogs,-0.281747,-0.769122,0
dogs,-0.396637,-0.769122,0
dogs,-0.477736,-0.769122,0
dogs,-0.511528,-0.761857,0
dogs,-0.592627,-0.72553,0
dogs,-0.761583,-0.64561,0
dogs,-0.802133,-0.63108,0
dogs,-0.849441,-0.602018,0
dogs,-0.856199,-0.580222,0
dogs,-0.883232,-0.500303,0
dogs,-0.896749,-0.45671,0
dogs,-0.910265,-0.405853,0
dogs,-0.910265,-0.384057,0
dogs,-0.903507,-0.34773,0
dogs,-0.883232,-0.296872,0
dogs,-0.869716,-0.260545,0
dogs,-0.869716,-0.246014,0
dogs,-0.849441,-0.209687,0
dogs,-0.829166,-0.144299,0
dogs,-0.822408,-0.093441,0
dogs,-0.81565,-0.071645,0
dogs,-0.808891,-0.049849,0
dogs,-0.802133,0.001009,0
dogs,-0.795375,0.088194,0
dogs,-0.761583,0.197175,0
dogs,-0.727792,0.320686,0
dogs,-0.721034,0.357013,0
dogs,-0.700759,0.436932,0
dogs,-0.666968,0.567709,0
dogs,-0.66021,0.596771,0
dogs,-0.66021,0.604036,0
dogs,-0.66021,0.611302,0
dogs,-0.653451,0.625832,0
dogs,-0.653451,0.625832,0
dogs,-0.639935,0.647629,0
dogs,-0.592627,0.67669,0
dogs,-0.572352,0.683956,0
dogs,-0.531803,0.698486,0
dogs,-0.525044,0.705752,0
dogs,-0.518286,0.705752,0
dogs,-0.50477,0.720283,0
dogs,-0.491253,0.727548,0
dogs,-0.477736,0.742079,0
dogs,-0.450703,0.756609,0
dogs,-0.437187,0.763875,0
dogs,-0.416912,0.77114,0
dogs,-0.383121,0.785671,0
dogs,-0.322296,0.800202,0
dogs,-0.26823,0.800202,0
dogs,-0.26823,0.800202,0
dogs,-0.247956,0.800202,0
dogs,-0.193889,0.800202,0
dogs,-0.126307,0.800202,0
dogs,-0.106032,0.800202,0
dogs,-0.078999,0.800202,0
dogs,-0.018175,0.800202,0
dogs,0.04265,0.800202,0
dogs,0.204848,0.800202,0
dogs,0.231881,0.800202,0
dogs,0.238639,0.800202,0
dogs,0.238639,0.800202,0
dogs,0.394079,0.800202,0
dogs,0.536003,0.800202,0
dogs,0.62386,0.792936,0
dogs,0.630619,0.792936,0
dogs,0.644135,0.785671,0
dogs,0.644135,0.778406,0
dogs,0.677927,0.727548,0
dogs,0.711718,0.683956,0
dogs,0.718476,0.67669,0
dogs,0.718476,0.67669,0
dogs,0.731993,0.654894,0
dogs,0.731993,0.647629,0
dogs,0.772542,0.618567,0
dogs,0.7793,0.611302,0
dogs,0.792817,0.596771,0
dogs,0.806334,0.574975,0
dogs,0.806334,0.574975,0
dogs,0.81985,0.560444,0
dogs,0.81985,0.553179,0
dogs,0.81985,0.545913,0
dogs,0.826608,0.531382,0
dogs,0.826608,0.524117,0
dogs,0.833367,0.509586,0
dogs,0.833367,0.48779,0
